ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
208865_at	2.59e-05	3.04e-06	-5.6664309	4.1097	-4.69e-01	CSNK1A1	casein kinase 1 alpha 1
219188_s_at	2.59e-05	3.04e-06	5.6663791	4.10955	1.80	MACROD1	MACRO domain containing 1
206399_x_at	2.59e-05	3.05e-06	-5.6662556	4.1092	-1.28	LOC100507353///CACNA1A	uncharacterized LOC100507353///calcium voltage-gated channel subunit alpha1 A
211467_s_at	2.61e-05	3.06e-06	5.6642922	4.10359	2.10	NFIB	nuclear factor I B
36612_at	2.61e-05	3.07e-06	5.6635744	4.10153	1.21	FAM168A	family with sequence similarity 168 member A
213327_s_at	2.61e-05	3.07e-06	5.6635376	4.10143	8.92e-01	USP12	ubiquitin specific peptidase 12
211047_x_at	2.62e-05	3.09e-06	-5.6612468	4.09488	-1.13	AP2S1	adaptor related protein complex 2 sigma 1 subunit
213455_at	2.62e-05	3.09e-06	5.6610778	4.09439	9.73e-01	FAM114A1	family with sequence similarity 114 member A1
219298_at	2.64e-05	3.11e-06	5.6594454	4.08972	1.21	ECHDC3	enoyl-CoA hydratase domain containing 3
212783_at	2.64e-05	3.11e-06	-5.6587737	4.0878	-8.15e-01	RBBP6	RB binding protein 6, ubiquitin ligase
210608_s_at	2.65e-05	3.12e-06	-5.6574181	4.08393	-2.19	FUT2	fucosyltransferase 2
203596_s_at	2.65e-05	3.13e-06	-5.6569802	4.08267	-1.48	IFIT5	interferon induced protein with tetratricopeptide repeats 5
213398_s_at	2.67e-05	3.15e-06	5.6549435	4.07685	8.07e-01	SDR39U1	short chain dehydrogenase/reductase family 39U member 1
218921_at	2.68e-05	3.16e-06	5.6533619	4.07233	1.02	SIGIRR	single Ig and TIR domain containing
204632_at	2.70e-05	3.19e-06	-5.6498955	4.06241	-1.15	RPS6KA4	ribosomal protein S6 kinase A4
203485_at	2.72e-05	3.21e-06	5.6478776	4.05664	2.14	RTN1	reticulon 1
201531_at	2.72e-05	3.22e-06	-5.6470931	4.0544	-1.27	ZFP36	ZFP36 ring finger protein
220341_s_at	2.72e-05	3.22e-06	5.6469493	4.05398	1.00	C5orf45	chromosome 5 open reading frame 45
205322_s_at	2.72e-05	3.22e-06	-5.6468806	4.05379	-8.02e-01	MTF1	metal regulatory transcription factor 1
213532_at	2.72e-05	3.22e-06	-5.6466861	4.05323	-6.48e-01	ADAM17	ADAM metallopeptidase domain 17
210879_s_at	2.74e-05	3.25e-06	5.6439843	4.0455	8.70e-01	RAB11FIP5	RAB11 family interacting protein 5
204754_at	2.74e-05	3.25e-06	5.6436106	4.04444	2.00	HLF	HLF, PAR bZIP transcription factor
212096_s_at	2.76e-05	3.28e-06	5.6406559	4.03598	6.88e-01	MTUS1	microtubule associated tumor suppressor 1
203385_at	2.77e-05	3.29e-06	5.6397875	4.0335	9.73e-01	DGKA	diacylglycerol kinase alpha
212830_at	2.78e-05	3.30e-06	5.6382636	4.02914	8.01e-01	MEGF9	multiple EGF like domains 9
209174_s_at	2.78e-05	3.30e-06	5.6381669	4.02887	6.20e-01	QRICH1	glutamine rich 1
211702_s_at	2.79e-05	3.31e-06	-5.6372996	4.02638	-1.11	USP32	ubiquitin specific peptidase 32
211709_s_at	2.79e-05	3.32e-06	5.6364144	4.02385	7.95e-01	CLEC11A	C-type lectin domain family 11 member A
206846_s_at	2.80e-05	3.33e-06	5.6349855	4.01977	7.36e-01	HDAC6	histone deacetylase 6
210157_at	2.81e-05	3.34e-06	5.6338582	4.01654	1.00	URI1	URI1, prefoldin like chaperone
219065_s_at	2.81e-05	3.35e-06	-5.6334684	4.01543	-5.91e-01	DPY30///MEMO1	dpy-30, histone methyltransferase complex regulatory subunit///mediator of cell motility 1
208624_s_at	2.81e-05	3.35e-06	-5.6332802	4.01489	-1.61	EIF4G1	eukaryotic translation initiation factor 4 gamma 1
201096_s_at	2.82e-05	3.36e-06	-5.6324961	4.01265	-8.39e-01	ARF4	ADP ribosylation factor 4
201286_at	2.82e-05	3.37e-06	5.631519	4.00985	6.06e-01	SDC1	syndecan 1
221923_s_at	2.82e-05	3.37e-06	-5.6311348	4.00875	-8.04e-01	NPM1	nucleophosmin
201853_s_at	2.83e-05	3.38e-06	-5.6302864	4.00632	-9.88e-01	CDC25B	cell division cycle 25B
